index,R_squared,subid,Skewness_group
exponnorm,0.984781744,sub-001,Positive
norm,0.986384902,sub-001,Positive
exponnorm,0.991005704,sub-002,Positive
norm,0.986644205,sub-002,Positive
exponnorm,0.992030474,sub-003,Positive
norm,0.991492325,sub-003,Positive
exponnorm,0.988528093,sub-004,Positive
norm,0.976714295,sub-004,Positive
exponnorm,0.97130131,sub-005,Positive
norm,0.941864464,sub-005,Positive
exponnorm,0.989913309,sub-006,Negative
norm,0.989500204,sub-006,Negative
exponnorm,0.98345281,sub-007,Positive
norm,0.981315502,sub-007,Positive
exponnorm,0.989519924,sub-008,Positive
norm,0.982795423,sub-008,Positive
exponnorm,0.968341495,sub-009,Positive
norm,0.929943255,sub-009,Positive
exponnorm,0.986798138,sub-010,Positive
norm,0.971121936,sub-010,Positive
exponnorm,0.987775663,sub-011,Positive
norm,0.983081552,sub-011,Positive
exponnorm,0.983745737,sub-012,Positive
norm,0.976595142,sub-012,Positive
exponnorm,0.98586347,sub-013,Positive
norm,0.963677029,sub-013,Positive
exponnorm,0.994770839,sub-014,Negative
norm,0.990789711,sub-014,Negative
exponnorm,0.989530248,sub-015,Positive
norm,0.973496683,sub-015,Positive
exponnorm,0.984272133,sub-016,Negative
norm,0.980761015,sub-016,Negative
