mu,sigma,tau,State,subid,Skewness_group
1.198028052,0.287711846,0.062902124,State1,sub-201,Positive
0.946369873,0.207788867,0.231916881,State1,sub-202,Positive
1.068823074,0.126064408,0.101485758,State1,sub-203,Positive
1.309758714,0.094606459,0.057580757,State1,sub-204,Positive
1.220424784,0.142673671,0.035282571,State1,sub-206,Positive
1.194591193,0.153604751,0.089648623,State1,sub-209,Positive
1.280405501,0.20802397,0.092298981,State1,sub-211,Positive
1.052488278,0.155785438,0.130101917,State1,sub-212,Positive
0.974349613,0.172064886,0.15687983,State1,sub-213,Positive
0.914922471,0.138103498,0.180573855,State1,sub-217,Positive
1.196344351,0.260244475,0.060022736,State1,sub-219,Positive
1.052915399,0.162233731,0.085837506,State1,sub-221,Positive
1.301715965,0.176845503,0.060320926,State1,sub-224,Positive
1.067217561,0.145787968,0.128641037,State1,sub-225,Positive
0.932077743,0.096630435,0.068249969,State1,sub-226,Positive
0.899387564,0.167604979,0.167696337,State1,sub-227,Positive
1.036435747,0.126495788,0.110075737,State1,sub-229,Positive
1.148613386,0.149267375,0.075241482,State1,sub-230,Positive
1.012930419,0.125173656,0.102769752,State1,sub-232,Positive
1.077821506,0.141135354,0.106775875,State1,sub-234,Positive
1.370189693,0.158607679,0.069852391,State1,sub-237,Positive
1.167318127,0.11944328,0.053020054,State1,sub-239,Positive
1.048172676,0.129887113,0.092837523,State1,sub-240,Positive
1.308321773,0.187157399,0.083459517,State1,sub-243,Positive
1.045788449,0.161837767,0.141060108,State1,sub-246,Positive
1.255458055,0.345912399,0.020808278,State2,sub-201,Positive
1.055921996,0.289493455,0.137494956,State2,sub-202,Positive
1.076375896,0.139105612,0.089854092,State2,sub-203,Positive
1.324138654,0.098383886,0.047807994,State2,sub-204,Positive
1.191504065,0.165349939,0.061322873,State2,sub-206,Positive
1.231136702,0.18156419,0.072960915,State2,sub-209,Positive
1.289710555,0.232751079,0.094128543,State2,sub-211,Positive
1.09868572,0.192779059,0.118354356,State2,sub-212,Positive
0.965634507,0.181533358,0.172528151,State2,sub-213,Positive
0.928705342,0.156076602,0.189412746,State2,sub-217,Positive
1.221271406,0.291020346,0.06786883,State2,sub-219,Positive
0.995999303,0.152306908,0.145572505,State2,sub-221,Positive
1.259799126,0.208895974,0.103442888,State2,sub-224,Positive
1.13719206,0.172276136,0.079775326,State2,sub-225,Positive
0.969344196,0.121087746,0.04874052,State2,sub-226,Positive
0.902155377,0.194454605,0.198313709,State2,sub-227,Positive
1.017663582,0.147909255,0.146338273,State2,sub-229,Positive
1.144152435,0.178008352,0.09994084,State2,sub-230,Positive
1.021292167,0.138237377,0.110386637,State2,sub-232,Positive
1.065116393,0.155112012,0.153175388,State2,sub-234,Positive
1.386633642,0.161704707,0.072234163,State2,sub-237,Positive
1.166994784,0.13697926,0.068300053,State2,sub-239,Positive
1.030598591,0.130332536,0.140188862,State2,sub-240,Positive
1.395309365,0.215684821,0.039120197,State2,sub-243,Positive
1.039243376,0.18256313,0.147592926,State2,sub-246,Positive
1.374755085,0.324392213,0.032954435,State1,sub-215,Negative
1.387492608,0.28939267,0.008195956,State1,sub-231,Negative
1.478897157,0.202865555,0.139476025,State1,sub-242,Negative
1.740183257,0.20363489,0.212975429,State1,sub-247,Negative
1.449464693,0.323727493,0.06518466,State2,sub-215,Negative
1.512009464,0.29090404,0.101208495,State2,sub-231,Negative
1.492532479,0.275421224,0.139959477,State2,sub-242,Negative
1.770322403,0.192642572,0.246267365,State2,sub-247,Negative
